lindex,Sport,Year,Country,count
1,Alpine Skiing,1936,AUT,4
2,Alpine Skiing,1936,BEL,4
3,Alpine Skiing,1936,BUL,3
4,Alpine Skiing,1936,CAN,7
5,Alpine Skiing,1936,ESP,2
6,Alpine Skiing,1936,EST,1
7,Alpine Skiing,1936,FRA,3
8,Alpine Skiing,1936,GBR,8
9,Alpine Skiing,1936,GER,8
10,Alpine Skiing,1936,GRE,1
11,Alpine Skiing,1936,HUN,4
12,Alpine Skiing,1936,ITA,8
13,Alpine Skiing,1936,JPN,3
14,Alpine Skiing,1936,LAT,3
15,Alpine Skiing,1936,LIE,2
16,Alpine Skiing,1936,LUX,1
17,Alpine Skiing,1936,NED,1
18,Alpine Skiing,1936,NOR,7
19,Alpine Skiing,1936,POL,3
20,Alpine Skiing,1936,ROU,4
21,Alpine Skiing,1936,SUI,2
22,Alpine Skiing,1936,SWE,1
23,Alpine Skiing,1936,TCH,7
24,Alpine Skiing,1936,TUR,4
25,Alpine Skiing,1936,USA,8
26,Alpine Skiing,1936,YUG,4
27,Alpine Skiing,1948,ARG,14
28,Alpine Skiing,1948,AUT,29
29,Alpine Skiing,1948,BEL,4
30,Alpine Skiing,1948,BUL,6
31,Alpine Skiing,1948,CAN,13
32,Alpine Skiing,1948,CHI,11
33,Alpine Skiing,1948,ESP,12
34,Alpine Skiing,1948,FIN,6
35,Alpine Skiing,1948,FRA,28
36,Alpine Skiing,1948,GBR,25
37,Alpine Skiing,1948,GRE,2
38,Alpine Skiing,1948,HUN,17
39,Alpine Skiing,1948,ISL,7
40,Alpine Skiing,1948,ITA,18
41,Alpine Skiing,1948,LIB,3
42,Alpine Skiing,1948,LIE,9
43,Alpine Skiing,1948,NOR,20
44,Alpine Skiing,1948,POL,10
45,Alpine Skiing,1948,ROU,14
46,Alpine Skiing,1948,SUI,29
47,Alpine Skiing,1948,SWE,16
48,Alpine Skiing,1948,TCH,16
49,Alpine Skiing,1948,TUR,10
50,Alpine Skiing,1948,USA,28
51,Alpine Skiing,1948,YUG,13
52,Alpine Skiing,1952,ARG,17
53,Alpine Skiing,1952,AUS,9
54,Alpine Skiing,1952,AUT,24
55,Alpine Skiing,1952,BEL,6
56,Alpine Skiing,1952,BUL,10
57,Alpine Skiing,1952,CAN,24
58,Alpine Skiing,1952,CHI,7
59,Alpine Skiing,1952,ESP,11
60,Alpine Skiing,1952,FIN,10
61,Alpine Skiing,1952,FRA,20
62,Alpine Skiing,1952,GBR,17
63,Alpine Skiing,1952,GER,24
64,Alpine Skiing,1952,GRE,6
65,Alpine Skiing,1952,HUN,5
66,Alpine Skiing,1952,ISL,12
67,Alpine Skiing,1952,ITA,20
68,Alpine Skiing,1952,JPN,6
69,Alpine Skiing,1952,LIB,3
70,Alpine Skiing,1952,NED,7
71,Alpine Skiing,1952,NOR,24
72,Alpine Skiing,1952,NZL,6
73,Alpine Skiing,1952,POL,21
74,Alpine Skiing,1952,POR,1
75,Alpine Skiing,1952,ROU,12
76,Alpine Skiing,1952,SUI,24
77,Alpine Skiing,1952,SWE,23
78,Alpine Skiing,1952,USA,24
79,Alpine Skiing,1952,YUG,5
80,Alpine Skiing,1956,AUS,11
